Sentence,Label Integer,Label
طراحی سری 4540s همانند اکثر لپ‌تاپ‌های کمپانی HP،  بسیار ساده و در عین حال شکیل است.,2,Positive
براي من تجربه استفاده از XBOX حدود دو سال است که شکل گرفته،  در اين مدت هرگز با چندين ساعت بازي که گاهي وقتها به 5 ساعت ميرسه،  هرگز مشکل فني باهاش نداشتم.,1,Positive
حساسیت‌های 1600 و 3200 نیز بهتر است که استفاده نشوند چرا که مشکل نویز و کاسته شدن از کیفیت عکس در آن‌ها زیاد است.,-1,Negative
همان‌طور که انتظار داشتیم،  مرورگری اینترنت با GALAXY Tab 2 10.1 بسیار لذت بخش است.,2,Positive
به روز رسانی: کیفیت عکس‌های گرفته شده توسط Ixus 240 HS در سطح خوبی قرار دارد.,1,Positive
در اطراف صفحه نمایش به اندازه کافی قاب وجود دارد که در هنگام نگه داشتن تبلت در دست،  به طور اتفاقی لمسی با صفحه نمایش صورت نگیرد که این مورد نیز در هنگام کار با آن،  راحتی بیشتری را ایجاد می‌نماید.,1,Positive
GALAXY Tab 2 10.1 را نمی‌توان یک جانشین مناسب برای تبلت معروف GALAXY Tab 10.1 دانست.,-1,Negative
"5- نسبت به رقباي فعلي امکانات خيلي کمتري دارد ,  و نمي توان بعنوان يک فبلت به کار گرفت ( فون+ تبلت ) اصطلاحا"" ( فبلت )",-1,Negative
اين گوشي فوق العاده نيست ولي ارزش خريد بالايي داره.,1,Positive
کار کردن با اين تبلت احساس خوشايندي دارد.,1,Positive
باتری به کار رفته در این گوشی یک باتری لیتیوم یونی 1500 میلی آمپر-ساعتی است که عملکرد خوبی را ارائه می‌نماید.,1,Positive
حقیقتا زمانی که آن دوربین معرفی شد توانایی زوم 42 برابر مقدار بسیار زیادی بود به طوری که آن را بالاتر از هر دوربین هم رده ی دیگری قرار می داد.,1,Positive
آدم ميترسه خراب بشه!,-1,Negative
قبلا s3 داشتم ولي واقعا ايفون چيز ديگه اي هست اصلا اسمش اعتباره و از نظر کيفيت حرف اول رو ميزنه,1,Positive
همچنين از نظر باطري هم خيلي قوي تره  و در اخر هم خيلي از اين تبلت خوشگل تره,2,Positive
اما ساخت این تبلت تفاوت خاصی نکرده و جنس پلاستیکی بدنه در این تبلت هم تکرار گشته است.,-1,Negative
این مشکل در نقشه های سه بعدی این برنامه بیشتر نمایان می‌شود.,-1,Negative
تعدادی برنامه نیز به صورت پیش فرض بر روی پدفون قرار دارد که البته با وجود نرم افزار به روز و سخت افزار قدرتمند،  کاربر می‌تواند بدون محدودیت از هزاران برنامه‌ی موجود برای سیستم عامل اندروید استفاده نماید.,1,Positive
در کل همانطور که گفتیم،  M50 دوربین فیلم برداری بسیار خوب دیگری از کانن است که کاملا کوچک و سبک ساخته شده و در ضمن از امکانات و فن آوری‌های پیشرفته و خوبی بهره می‌برد.,2,Positive
از نظر کيفيت تصوير، صدا، سخت افزار و سرعت پردازش اطلاعات عملکرد بسيار عالي دارد.,2,Positive
سخت افزار Optimus VU از سخت‌افزار قدرتمندی برخوردار است.,1,Positive
و با رابط مناسبش ،  و سخت‌افزاري قويش،  گزينه ي خوبي براي تازه کارها،  و حرفه اي هاست.,1,Positive
ﺑﻪ ﻧﻈﺮ ﻣﻦ ﺑﻴﻦ ﺍﻧﺪﺭﻭﻳﺪﻳﻬﺎ ﺑﻬﺘﺮﻳﻨﻪ,2,Positive
باورم نميشه،  فوق العاده س!,2,Positive
واقعاً محشره.,2,Positive
