Positive,خودم را هم که دست به سر کنم ، با این لهجه ی باران گرفته چه کنم ؟!  نمی دانم شاید هنوز با بوی پیراهن شما نسبتی دارم ...مارال بنی هاشمی  ____  فیلم در جستجوی فریده، مستندی روان، پر از احساسات و بسیار عالی بود..
Positive,از تک تک پلان های این فیلم نهایت لذت رو بردم عالی عالی سینما یعنی مکری
Positive,به نظرمم یک فیلم خوش ساخت با طنزی شریف و در عین حال تلخ تلخ تلخ، و متاثر کننده ....
Positive,فیلمی با محتوای انسانی و تبلیغ برای کار نیکوکارانه..تدوین خوب،بازی های متوسط و پرداخت ضعیف و ضعف فیلمنامه در بعضی قسمت ها.به نظر من بطور کلی فیلم از نظر هنری متوسط رو به ضعیف بود اما از نظر پیام، تاثیرگذار و قابل تامل بود.
Positive,فیلم، فیلم من نبود. یعنی من را همراه خود نمی‌کرد. درگیر نمی‌شدم. پنجره تازه‌ای به واقعیت یا خیال برایم باز نمی‌کرد. اما به لحاظ تکنیک و فرم و دغدغه، فیلم محترمی بود.
Positive,یه فیلم خوب، تمیز و شریف  نگاه جدیدی که کارگردان به مرگ تختی کرده بود ورای خودکشی در اثر فشارهای زندگی و زن و ... و یا قتل به دست حکومت بود.   تختی به جایی رسید که دیگه این دنیا با همه زرق و برقش رو دوست نداشت‌. تختی این دنیایی نبود.
Positive,هر چند از لحاظ فیلمنامه شاید جذابیت قسمت اول رو نداشت ، ولی اینجا داستان شخصی تر و دراماتیک تر شده بود و از سختی های ساخت فیلم هم نمیشه گذشت . در مجموع فکر میکنم اقای مهدویان برخلاف خیلی از کارگردان های دیگه دارن گام رو به جلو برمیدارن
Positive,این فیلم بی نظیره! عالی!  حتی اگه چهار- پنج بار دیده باشی ، باز هم تازگی و جذابیت ش رو داره و نمیشه سرسری تماشا کرد
Positive,چه زیبا بی اندازه ها را به اندازه آورده بود!  کاش نه تنها اندازه آنها که اندازه خودمان را نیز بدانیم.
Positive,فیلم خوبیه اما باید بیشتر به اتفاقات و روابط موجود در فیلم پرداخته می شد...
Positive,خیلی خیلی خیلی خنده دار بود. جواد عزتی عالی بود یعنی هیچ کس جز جواد عزتی نمی تونست  انقدر این نقش و خوب بازی کنه دیالوگهای فیلم هم به طور عجیبی پر از تیکه های بامزه بود. خلاصه کای کیف داد. پیشنهاد میکنم ببینین.
Positive,فیلمی ملموس و انسانی    دمتون گرم
Positive,ی فیلم خوب و کار درست   تو بازار کمدیهای تکراری ی کمدی جدید واقعا جای قدر دانی داره .
Positive,دیدن این فیلم را به همه دوستانی که می خواهند از دیدن کی اثر لذت ببرند و در عین حال بیاموزند  توصیه می کنم...
Positive,همه ی عوامل فیلم عالی بود! و واقعا تصور نمیکردم کارگردان با این سن کم اینو ساخته و جوری با مخاطب جوین شه که گذر زمان رو متوجه نشیم...و میخکوب رو صندلی سینما...
Positive,حدود امتیاز: ۵ الی ۷  جیرانی همیشه فیلم ژانر رو دوست داره، با اینکه یه جاهایی بیرون می‌زنه و ریتم بسیار بسیار کندی داره ولی من خوشم اومد و هر کی بدش بیاد قطعا کلی دلیل منطقی داره که منم قبول دارم.
Negative,فیلم اعصاب خورد کن  و بازی اعصاب خورد کن نگار جواهریان  لرزش صدای مصنوعی و صورت رنگ پریده  همینو تو فیلمای طلا و مس و  حوض نقاشی دیدیم  این تکرار جذابیتشو از بین برده
Negative,از فضای فیلم خوشم نیومد.خیلی فضای روشنفکرانه ای داشت.
Negative,فیلم مخصوص آقایون بود ؟ ؟ ؟ :|   والا همش توش تیکه بود برای زنان و ضعیف نشون دادن خانوما   همشونم مصنوعی بودن :|   فقط میتونم بگم باران کوثری خوب کار کرد -_-
Negative,در همه جنبه ها  صد قدم عقب تر از درباره الی!   و دیگر هیچ
Negative,بعد از پایان فیلم  افسوس بزرگی می خوری بابت هدر رفتن این همه تلاش عوامل فیلم در شکل گیری جلوه های بصری  و فیلمبرداری  که بعضا در نماهایی بسیار جذاب است مثل هلی شات اول فیلم  اما متاسفانه فیلم  ضربه سهمگینی از فیلمنامه ساده انگارانه، آشفته، سانتی مانتال و پرگویش میخورد تاحدی که مخاطب را کلافه و دلزده میکند.
Negative,دوست نداشتم خیلی ضعیف بود  مخصوصا 2 تا بازیگر دختر و پسر  یه چیزی هم که خیلی جالبه توی بیشتر فیلما زن افسرده شکست خورده فیلم  دختر شاد دانشکده بوده
Negative,کند بی هدف خسته کننده و متوسط
Negative,"تو در تو , گیج کننده , بدون هدف, سرگردان و خسته کننده کلماتی هستند که میتونم در مورد فیلم بگم!"
Negative,از کسانی که فیلم رو دوست داشتند تقاضا دارم بیان و دلایل خودشون رو اعلام کنن!  فیلم به غایت دوست نداشتنی بود!!!!!!!!!
Negative,باز هم خیانت، باز هم انفعال کاراکتر، باز هم اتفاق پیدا شدن گوشی، باز هم نویسنده ای که با این ترفندها می خواهد فیلم را به پیش ببرد و تمام کند.به راستی اگر این انفعال و تصادف نبود فیلم را چه می شد.بودن یا نبودن؟
Negative,کاشکی بابای من هم پولدار و معروف بود منم فیلم میساختم
Negative,خروج   فیلمی با محوریت دروغ.  فیلمی که فیلم نبود و این از حاتمی کیایی که پشتش سپاهه بعید نبود.  جلوه های ویژه بسیار بد  صدا برداری افتضاح  واقعا ناراحتم که وقتم رو برای کاری به این شدت بی ارزش گذاشتم.  متاسفم برای سینمای کشورم   امتیاز 1 از 10    # طاها #
Negative,خیلی بد و افتضاح.بدون شخصیت پردازی واقعی و روند منطقی داستان.واقعا حیف هزینه(حتی نیم بها که من دادم) و وقتی که گذاشتیم.
Negative,سلام به همه  خدا رحمتت کنه صادق هدایت که نبودی و نیستی که پرپر کردن برگرفته از داستانت را ببینی واقعا بهتره به جای اشاره کردن به برگرفته از آثار ادیبان نام آشنا بزنند نگاهی عجیب به این داستانها...
Negative,کافیه دیگه این فیلم ها!‏
Negative,فاجعه، شعاری، سفارشی و فاقد هر گونه ارزش هنری.
Neutral,حتما باید فیلمی ساخته بشه با وجدان بیدار انسانها!!
Neutral,کمتر فیلمی رو تو این چند وقت دیدم که شخصیتاش خاکستری باشن.همیشه یا سیاه هستن یا سفید.یکی ظالمه یکی مظلوم ولی آدمای داستان این فیلم هر کدوم به جای خودش حق داشت
Neutral,نادر : قرار بود ترک سیگار باشه نه ترک لیلا!
Neutral,نگارجواهریان همیشه فوق العاده ست عاشق بازی این هنرمندگرانقدرم
Neutral,سینما فرهنگ، برف روی کاج ها..     بعداز دو هفته گذشته و هنوز به تکرار از خودم میپرسم: آیا میخوام کسی بهم بگه داره بهم خیانت میشه یا ترجیح میدم خودم ضربه ی کشفش رو به خودم بزنم؟   ترجیح میدم در انکار شاد باشم یا با حقیقت روبرو شم و دنیام زیر و رو شه...!!! و هزارتا چرای دیگه...    خرداد 1392
Neutral,چقدر اندوه قورت نداده ، چقدر آوار فرو نریخته ... ما این شهر را با تمام سیاهی و اندوهش به ارث برده ایم...مارال بنی هاشمی  با دیدن این فیلم دوباره خاطرات به کوچه ما سر زد...
Neutral,جرم عماد کم‌تر از جرم اون پیرمرد نبود وقتی که با نگاه کردن به عکس‌های خصوصی، به حریم شخصی دانش‌آموزش تجاوز کرد و دلیل این تجاوز هم فقط یک چیز بود: وسوسه
Neutral,درکل موضوع فیلم این بود: هرکه بامش بیش، برفش بیشتر!  خانمها فقط بهانه ای بودند برای به نمایش گذاشتن این موضوع. حالا ممکنه چند وقت دیگه از آقایون برای نشون دادن این موضوع استفاده بشه.
Neutral,بهداد فعلا بازیگر نیست بلکه خودش است.
Neutral,سکوت چیست، چیست ای یگانه ترین یار ....سکوت چیست به جز حرفهای ناگفته؛ فروغ فرخزاد....  قاب عکس ها ....... قصه تنهایی یک مادر....و بعد از تماشای فیلم دوست داری سکوت کنی....سکوتی به بلندی یک فریاد.... یک نسل ....نسل سوخته...
Neutral,رئیس کارگاه : خُب جوونه عاشِق شدن ؛ گناه که نکردن!  پدر دختر : عاشُق شُده؟! عاشُق چیه دختر ما شُده! عاشُق بیچارِگیش شُده ! عاشُق پریشانِیش شُده!؟  عاشُق چیه دختر ما شُده! ...؛   چند متر مکعب عشق!
Neutral,این آهنگ رضا بهرام https://bamiseda.ir/?p=10012  همونیه که تو دل خونده میشه؟؟؟؟؟
Neutral,خانوم دولت شاهی نبودن که؟!
Neutral,بازی خانم توسلی بی نظیر بود ...
Neutral,در جامعه ای که قوانین رو مردها مینویسند، زن بودن کار سختیست...
Neutral,مثل همیشه پوران درخشنده و مقاله‌های اجتماعی که در قالب فیلم می‌نویسد، محترم هست ولی سینما؟
