sentence,sentiment
سلام رنگ نقره ای شو بیارید لطفا,1
این تلفن امکانات خوبی داره و از کیفیت ساخت بسیار بالایی هم برخورداره. من هفته پیش از دیجی کالا سفارش دادم و بعد 2 روز به دستم رسید.  البته جا داره دیجی کالا در مورد کالاهایی مثل این مورد که هم ساخت مالزی و هم ساخت ژاپن دارن و قیمتشون هم متفاوته مشخص کنه کدوم مدل را میفروشه، من چند بار تلفنی هم تلاش کردم بفهمم کدوم مدل را میفروشن ولی برای من مشخص نکردن. هر چند در نهایت مدلی که به دست من رسید ساخت ژاپن بود.,0
خیلی راضیم فقط همین,0
با سلام خدمت دوستان  من یک جفت باند 6965v2 و پخش 6650 از دیجی کالا خریدم. اگه میشه راهنمایی کنید چه امپلی و چه کامپنت بخرم که یک صدای با کیفیت ازش بگیرم. شاید بعدا یک جفت باند دیگه خریدم   با تشکر,1
گوشیه خیلی خوبی هست مخصوصا دوربینش و طراحیش . ولی یه چیزی هست که باید همه اون هایی s7 یا edge دارن بدونن که اگر باهاش رفتین توی استخر برای 20 دقیقه امکان داره که تا کامل اب های که توی درز های گوشی هست خشک نشه شارژ نکنه یا حتی نشه از هندزفری استفاده کرد . در کل گوشیه خیلی خوبی هست.,0
سلام.آیا روی دوربین های کامپکت سونی هم نصب میشه؟و وقتی منوپاد در بیشینه خودش بازه دوربین دور خودش نمی چرخه؟ممنون میشم سوالمو جواب بدین,1
این مادربرد بسیار عالیه و لی از نوعrogنیست.من این مادر برد رو نخریدم ولی مد نظرم هست چون کارت صدای خوبی داره و هدر های متفاوت ... ولی من نمیدونم با خرید این مادر برد برای انجام کار طراحی سه بعدی کارت گرافیک چی بگیرم اگه میشه راهنماییم کنید ممنون,1
سلام دوستان گرامی-من این هندزفری رو قصد دارم بخرم اما دو دل موندم!میزان شارژ دهیش راضی کننده هست یا نه؟روی گوش سنگینی میکنه؟کار باهاش راحته یا نه در کل ارزش خریدو داره یا نه؟ممنون میشم منو راهنمایی کنید.  با تشکر,1
شش ماه است که خریدم خیلی عالی است چاپ بسیار با کیفیتی دارد ولی بعضی مواقع هنگ می کند وجای یک ورقه دو ورقه می دهد شاید ایراد از دستگاه من باشد ولی  اگر از این بگذریم خیلی عالی است و پیشنهاد میکنم بخرید از دی جی کالا هم بخرید چون قیمت هایش از بازار هم مناسب تر است,0
من به شخصه میتونم بگم بهترین آلبومه ارزش خرید داره دریق نکنین,0
به نسبت قیمت ارزش نداره ساخت چین است,2
با توجه به این حجم قیمتش مناسبه، کیفیتشم بد نیست؛ خوبه.  فقط کمى بوش مثل بوى شربته!,1
تمام مدل های سری سی یاماها رو دستم گرفتم و میتونم بگم که از گیتارایی مثل استگ و هافنر پایین تره و دستش زود تاب بر میداره,2
شگفت انگیز کنید 3 تا میخوام,1
خدایی میگم، تا 200 تومن این بهترین گوشیه با این قیمت و رم1 و باتری 2000 واقعا عیب گذاشتن مسخرست.  من که مشکلی ندیدم ازش.,0
عالی از همه نظر.  هم ظاهرش خوبه. هم کیفیت ساخت و هم سرعت.,0
مرسی از دیجی کالا.سرعت ارسال کالا عالی بود.  گوشی هم فوق العاده بود,0
منم به تازگی خریدم لب تاب خوبی ازش راضیم,0
با سلام  من این پاور بانک را خریدم ولی از همون روزی که خریدم نمایشگر درصد پاور بانک ایراد داشت  یعنی با گوشی سه هزار میلی آمپر که دارم دو بار شارژ که کرد نمایشگر عدد 2 درصد را نشان میده ولی روی همون 2 درصد حدود یک بار و نیم دیگه شارژ میکنه  ولی با این قیمت پاور بانک عالی هست چون دو خروجی 2 میلی آمپر داره,0
"من دو هفتس تو مشهد خریدمش  کانفیگش عالیه گرافیکش محشره،Battlefield 4 , Ghost, Arma3 همرو با سرعت عالی و بدون افت فریم و تیک و لک راحت بازی کردم،خیلی دوسش دارم  توصیه میکنم حتما بخریدش",0
چند تا از دوستان از همین گوشی خریدن و دکمه هوم همشون وحشتناک خش افتاده نگیرید که بد جور پشیمان میشود edge plus خیلی از این بهتره دکمه هوم خیلییییییی وحشتناک خط و خش میافته,2
سلام من دو هفته میشه این گوشیو دارم از همه نظر عالیه البته بجز دوربین که اونم تویه این رنج قیمت خوبه فیلم فول اچ دی هم با mx راحت پخش میکنه من گوشی زیاد عوض میکنم ولی این نسبت به قیمتش عالیه,0
با سلام خدمت دوستان6ماهی میشه خریدم از پیشنهاد شگفت انگیزبسیار قیمت خوب و شارژ دهی مناسبراضی کننده است,0
سلام   دوستان یه سوال داشتم از خدمتتون  من وقتی این ریش تراشو گرفتم متوجه شدم ولتاژ خروجی آداپتور 5.4v هست در حالی که ولتاژ موتور ریش تراش که روش درج شده 3.6v است میخواستم ببینم امکانش هست آداپتورو اشتباه گذاشته باشن و اینکه استفاده از این آداپتور ممکنه به باطری و دستگاه آسیب برسونه؟,1
سلام.  شارژ دهی بستگی به استفادتون داره.  ولی خب من الان سه چهار روز تا یک هفته استفاده میکنم ازش.  شارژدهیش خوبه نگران نباش,0
به کسانی که گردنبند زیبا و سبک می خواهند،حتما پیشنهاد میکنم.,0
نسبت به هزینه ای که میکنید واقعا می ارزه  بیس و تریبل خوبی داره من با پخش 9450  و 4350 و 1850 پایونیر بستمش واقعا عالی بود فقط نیاز داره یکم حرفه ای تنظیمش کنید تنها نقطه ضعف این باند نداشتن توری روی قاب اونه که ممکنه برای بعضی ها مشکل ایجاد کنه و سبب خراب شدنش شه که توی مدل بعدی یعنی 6951 این مشکل برطرف شده بهرحال عاااااالیه,0
لطفا ذکر کنید طراحی چه سالی هست . اکثر مدلاتون برای 2007 هست متاسفانه,2
شیاومی با بهترین کیفیت زیبایی و امکانات وقیمت مناسب,0
یه هفته ای میشه خریدمش!واقعا عالیه!در خریدنش شک نکنید،خیلی زود مجذوب خواهید شد.,0
گوشی حرف نداره عالیه برید ویدیو هاشو تو آپارات ببینید  به حرف های معیوس کننده ی دیگران گوش نکنید  همیشه خودتون اول امتحان کنید بعد نظر بدبد,0
چرا موجود نمیشه پس!!!!!,1
چرا موجود نمی کنید؟ لطفا هرچه زوتر موجود کنید,1
پاور بانک بسیار عالی است .,0
دوستان من نزدیکه 5 ماهه این تبلتو دارم تبلت خوبی  بد نیست ولی وقتی این تبلتو خریدین به چند تا مشکل بر میخورین و  اون مشکل اینه که محافظ صفحه ی نمایش و کیف مخصوصی برای این تبلت وجود نداره.,2
برای مدل H60-L04  به نظر میرسه رابط کاربری اموشن 3 نیومده,1
من این گوشی رو یک سیمشو دارم  پارسال از دیجی خریدم  خوب بود تا اینکه یه ماه پیش پرش آنتنش شروع شد همونطور که دوستان گفتن...  جالبه که درست یک ماه پس از پایان گارانتیش این مشکلو پیداکرد  اینجوری اصلا فایده نداره  حالا دنبال راهی هستم که بشه این مشکلو حل کرد...,1
خیلی گوشیه خوبیه از g750هم بهتره هم ارزونتره/یک کلام فوق العاده است,0
خریدش رو حتما پیشنهاد میکنم  حالا چه از دیجی کالا چه جای دیگه  فقط اصل بخرید  خیلی چکش پر قدرتی داره,0
من تازه خردیدمش و تو این مدت خیلی ازش خوشم اومده,0
گوشی قبلیم4G بود ولی کمتر پیش میومد آنتن گوشی 4Gبشه ولی c5 max حداقل آنتن4G تو منطقه ما،سه آنتن داره،در کل راضیم از خریدم,0
متاسفانه برای شدت جریان 2.1A اصلا مناسب نیست.,2
من حدود یک ماهه این هارد رو خریدم و کاملا راضی ام.  مشخصات خوبی داره.  واقعا زیباست.سرعت راضی کننده و خوبی داره.اندازه ی کوچکی داره.,0
سلام من تاحالا ایفون استفاده نکردم ولی با کلیپ و ویدیو هایی که دیدم خیلی چیزا دست گیرم شده که یکی از اونا چیپ m7 که تمام قابلیت حرکتی را به عهده داره تا چیپه a7 بتونه به راحتی بازی هارو پردازش کنه   اگر دنبال گوشیِ عالی هستین این گکشی پیشنهاد میشه  چون نصب به ارزون شدن این گوشی میتوان گفتم ارزش خریدن داره,0
اولا تشکر میکنم از دیجی کالا که به موقع و با بسته بندی شکیل تحویلم داد کفشو. بعدشم اینکه دوستان واقعا کم لطفی کردن در مورد نظراتشون... کفش واقعا با کیفیت و زیبا و راحته و میتونم بگم از همه نظر عالیه... کاش رنگای دیگشم میاوردید,0
با سلام من از نمایندگی گرفتم برای نصب با سوکت فابریک حدود 3 ساعت زمان برد.ولی در کل در مدل های معمولی از بقیه دزدگیر ها کیفیت به مراتب بهتری دارد با گارانتی تعویض و ضمانت نامه سرقت بیمه آسیا.,0
از هر نظر فوق العاده و عالی,0
"سلام من این تبلت رو حدود 1 ماهه که خریدمش از همه نظر عالیه بازی های دیتا دار رو مثل fifa15 ,nfs رو بدون هیچ مشکلی اجرا میکنه otg هم به خوبی ساپورت میکنه سزعت بلوتوث عالی وای فای عالی باتری هم حرف نداره دوربینش هم عالی میگیره در جمع عالیه از خریدنش پشیمون نمیشید.",0
سلام  حدود چند روزی میشه که این مدل رو خریداری کردم....  این مدل در واقع مدل جدیدتر k46 هستش که بهبود هایی نسبت به مدل قبل داشته که مهمترینش استفاده از cpu haswell هست...  با توجه به بدنه باریک دستگاه به هیچ وجه گرمایی تولید نمیکنه که حتی در حالت اسفاده متوجه اون بشید و نکته دیگه صدای خیلی کم اون هستش که واقعا چیز مهمی به حساب میاد...  کلا دستگاه خیلی خوبیه و نسبت به قیمتش و جنس و کیفیت ساخت ارزش خریدن رو داره...,0
موضوعش جالب بود نثرش روان  و عالی بود توصیه میکنم این رمان رو بخونین ارزش خوندن داره!,0
تفاوت خاصی به چشم نمیخوره...  هم در ظاهر و هم در امکانات,1
من یکی خریدم خیلی قشنگه، یکی از همکارانم هم سفارش دادن وقتی دیدن ساعت رو,0
سه نفری نتونستیم یه فیلم ببینیم .. منکه وسط بودم فقط خوب میدیدم,2
دست مریزاد.چه کیبردی زده ریزر. هیچ کیبردی جلو این حرف برا گفتن نداره  از هر نظر عالی,0
آقای امیرعباس منطقی....!  اگه دوربین فول فریم میخوای حداقل باید سه چهار برابر پول بدی ...  این دوربین خیلی خوبیه همینو بگیر زندگیتو بکن ... خیلی هم عالیه بیشتر از اونجیزی که انتظار داری ... سایز سنسورش هم خوبه... موفق باشی...,0
من دارم چیز خوبیه  حتما بخرید از دیجی کالا,0
یه فلوت ریکوردر واقعی با این حدود قیمت بگیرید منطقی تره. البته مگر این که به خاطر ترکیب رنگش این رو بخواین...,1
نسبت به امکاناتش ارزش نداره,2
از نظر من یکی از اشکالات این گوشی قدرت بسیار کم باتریش است.,2
من از قدرت موتورش اصلا راضی نیستم,2
محصول خوبی نیست - هی اسکرین رو خاموش میکنه و نمیشه باهاش کار کرد  از خریدش پشیمون شدم   دیجی کالا لطفا نیار از این محصول - کیفیت نداره و فیت تبلت لنووو اس 6000 نیست,2
آقای ابوذر هدفون ها به طور کلی به دو دسته open back و closed back تقسیم میشن و خیلی ها اعتقاد دارن بهترین صدای هدفون از open back ها در میاد.  یعنی همونایی که صدا ازشون خارج میشه. خریدار این هدفون نیستم فقط خواستم اطلاع رسانی کنم.,1
من مسواک برقی های مختلفی از برندهای معتبر امتحان کردم که هرکدوم رو به دلیلی که از سهل انگاری و بی تجربگی خودم بود خراب شد انصافا همه شون با کیفیت و عالی بودند اینو چند روز پیش تو پیشنهاد شگفت انگیز خریدم اینم خیلی با کیفیت و عالیه وقطعا,0
بنظر من ساعت کاربردیه ولی 2 روز شارژ خیلی کمه,2
فقط میشه گفت که زیباس,0
سلام همین 2 ساعت پیش این گوشی رو خریدم همون اول بسم الله اومدم دیجی کالا نظرمو بدم.هنوز هیچ برنامه ای روش نریختم و اومدم اینجا نطر بدم دیدم سرعتش خیلی خوب نیست البته دیجی کالا هم سایت خیلی سنگینی برای گوشی,2
اگه قیمتش مناسب باشه عالیه,0
من یه ماهی میشه خریدم و خیلی هم راضیم همه چیزاش در حد یک میان رده عالین,0
با سلام خدمت دوستان.   من دو ساعت پیش این محصول به دستم رسید .   الان باهاش به اینتررنت وصل شدم.   با اینکه این نقطه ای که میز من هستش اونجا با لپتاپم کار میکنم ، آنتن دهی کمی داری (منظور پوشش آنتن دهی رایتل هستش در این قسمت از تهران) مودم هم دو خطِ آنتنش پُره ، سرعت خوبی داره و من راضیم .   از خریدم راضیم .   دیجی کالا هم قیمت هاش خیلی خوبه .  یاحق.,0
لطفا سفیدشو موجود کنید خیلی وقت منتظرم   خواستم 910c بخرم دیدم خیلی گرونه بودجم نرسید,2
"باسلام لطفا این مدل موجود,کنید. اگه یه صفحه ای بزارید که دیجی کالا جواب ماهارو بده خیلی خوب میشه. تو تهران کالا وجود داره. شما هم بزارید",1
جیگره جیگرههههه عالیییی,0
سلام.این دستگاه رو خریدم.از هر حیث مناسبه.تست شد.اگر در هنگام کار با آسیاب روشن نشد به این سببه که فلش قرمز روی بدنه و فلش قرمز  روی  پوسته بیرونی آسیاب روبروی هم نیستند.باز کنید   تنظیم کنید و ببندید.هیچ مشکلی نداره.درضمن قطعاتشم مال خودشه.,0
سلام   به جرعت میتونم بگم این گوشی یکی از بهترین گوشی های بازار ایران هستش  حتی از آیفون 6 هم بهتره,0
سلام در نقد این گوشی باید بگم که  سیستم فوق العالده ای داره  ولی نمیتونه به galaxy. j7 2016 برسه   صفحش ال سی دیعه و در اثر لمس رنگ اسیدی پخش میشه که در اثر زمان مونجب خراب صفحه میشود   نداشتن فلش جلو  ولی در کل بهتره جی هفت دوهزارو شانزده بگیرین   بصرفه تره,0
لطفا این محصول رو موجود کنید و در پیشنهاد ویژه با قیمت مناسب قرار بدین.تو هفته ی آینده قصد خریدشو دارم.دوست دارم از دیجیکالا بخرم.,0
من بعداز چند ماه جستوجو این فبلت انتخاب کردم.سی پی یو قوی.دوربین عالیییی ...ولی تو مکثش موندم لطفا براداران وخواهرانی که از این تبلت استفاده میکنن کامل جواب بدن تا من فردا این محصول فوقالعادرو بخرم.هر کی موافق++,0
سلام،این تبلتو سه روزه که خریدم و اول از همه می خوام بدون تعصب صحبت کنم اول از همه اینکه شما در نگاه اول عاشق این تبلت میشین و این که سرعتش خیلی بالا است و اصلا کند نیست من هنوز اندروید 4.4 نریختم ولی همینطوری هم عالیه دوم اینکه توی هیچ بازی سنگینی کم نمیاره اینو بهتون قول می دم باطری دهی شم خیلی خوبه تا یه روز با استفاده ی مداوم و وای فای روشن جواب داد قلمش هم عالیه برای اونایی که نیاز به نوت برداری دارن و دانشگاه میرن و چیزی که منو آزار میده جنس بدنشه که احساس راحتی اپل و دیگر محصولات رو نداره و چیز دیگه اینکه دوربین این تبلت از بدنه بیرون زده و وقتی اونرو روی جایی میزارید امکان خش و خط افتادن روی لنز بسیار زیاده که این مشکل با یه قاب حل میشه یا علی,1
یه دوربین دو چشمی به تمام معنا عالی هست از نظر کیفیت ساخت فوق العاده است و میدان دید خیلی خوبی داره,0
در تهران با وارد کردن شماره 9717000 در sms center گوشی میتوانید مانند موبایل پیامک بزنید و نیازی به مراجعه به مخابرات نیست,1
اصلا نمیارزه .  دوربین 1 مگاپیکسل.  قابلیت مکالمه هم که نداره.  dlna و gps وnfc و hdmi  هم که نداره.,2
سلام من خودم قبلا از بزند الجی استفاده میکردم ولی به دلیل آنتن دهی نامناسب میخواستم برندم رو عوض کنم در وهله اول از خرید هواوی ترس. دستم ولی الان با خرید و استفاده دیدم چیزی از بزند های دیگه کم نداره و البته آنتن دهی فوق العاده و همچنین داشتن دوربینی با کیفیت شرکت لایکا منو مجاب کرد که این پست رو بزارم,0
سلام به دوستان اگر گوشی سونی sp دارید و هنگ کرده ابتدا درب گوشی رو باز کنید در قسمت پشت گوشی در پایین یک سوراخ که در داخل آن زرد رنگ است و زیرش کلمه off نوشته شده را پیدا کنید بعد نوک خودکار یا شیعی دیگر داخل سوراخه گفته شده را فشار دهید و نگه دارید تا گوشی خاموش شود,1
دیجی کالا لطفا مدل بزرگ همین مدل هم بیارید لطفا   این مدل مینیش هستش که شما اوردین,1
سلام ، به نظر من واقاً کارامد و عالی.من خودمم موقع خرید نظرات رو خوندم دیدم اکثراً تعریف کردن و درست هم بود,0
به نظر من که اصلا خوب نیست. حیف پول. موهای نازک رو نمیگیره و مورد استفاده اصلا قرار نمیگیره. نخ خودش اینقدر کلفته که خوب نیست  نخ دیگه ای هم نمیشه استفاده کرد.  در کل اگر پولتون رو می خواین بریزین دور بخرین,2
من که ps2 دارم و واقعا ازش راضیم ولی ای کاش پولمو بیش تر جمع می کردم و یک کنسول ps3 می خریدم.,0
با سلام دوستان گرامی.این در اصل حقیقته.چند نفر از دوستان که اومدن و در مورد این گوشی نظر دادن،تا حالا گوشی رو تو دستشون گرفتن که ببینن وزنش زیاده و ...ممنون.++,1
"من یک سال پیش این اسپیکر  رو از فروشگاه اینترنتی بامیلو خریدم...خیلی ازش راضیم, هم کیفیت ساخت عالی داره هم قدرت پخش فوق العاده  تو این رنج قیمت واقعا گزینه ی خوبیه",0
خوب اینکه با 2 - 3 بار استفاده برای کل بدن فلش هاش تموم میشه. فلش جداگانه اش هم واسه فروش نداری! یعنی باید بندازیمش دور؟!,1
"با سلام  ینده دو روز پیش یک گوشی Sony Xperia E1 Dual D2105 از سایت خریداری کردم. وقتی گوشی به دستم رسید مشخصات داخلیش رو که چک میکردم دیدم که :  حافظه داخلی در سایت 4096 مگابایت ذکر شده در حالی که در مشخصات داخل تلفن همراه این میزان 2 گیگابایت می باشد(در حدود نصف)!!!!  وقتی هم که با اپراتور دیجی کالا تماس گرفتم شماره شرکت"" آرمان همراه آرین"" رو بهم داد که تامین کننده گوشی سونی هستش  بخش فنی اون شرکت گفتن که نصف حافظه داخلی برای برنامه اندروید رفته!!!!  در حالی که کل حافظه داخلی گوشی 2 گیگابایت هستش و طبق گفته پرسنل شرکت آرین به میزان 2 گیگابایت دیگه هم برای برنامه اندروید صرف شده که اصلا معقول نیست!  در حالی که قبلا گوشی خریده بودم و اصلا چنین چیزی صحت نداره.  شما دوستان هم اگه قصد خرید دارید حتما قبلش چک بکنید که وقتی بدستتون رسید حتما با مشخصات داخل سایت یکی باشه.",2
جنس بدنه اش پلاستیکی کلا ؟ یا استراحتگاه مچ از فلزه ؟   صفحه نمایشش چطوریه ؟ ماته دیگه ؟ لمسی که نیست هست ؟,1
با سلام خدمت دوستان.بعضی از دوستان گلایه از این دارند که چرا در گوشی ها و تبلت های دو سیم کارته با توجه به پشتیبانی دستگاه مورد نظر از اینتر نت نسل سوم باز هم سرعت اینترنت پایینی دارند.در جواب این دوستان باید گفت که در بسیاری از گوشی ها و تبلت های دو سیم کاره معمولا slot 1 (شیار 1) سیم کارت از 3g یا 4g پشتیانی میکنه و شیار 2 سیم کارت معمولا برای نسل 2 سیم کارت ها یا اصطلاحا (gsm) هستند.بنده به شخصه این تجربه رو با دو مدل  مختلف گو شی های htc  داشتم.لطفا با انتشار این متن در  صفحات مختلف به راهنمایی دوستان و حل مشکلشون کمک کنید. ارادتمند.,1
خرابه نخرین... 4g کار نمکنه . نرم افزار روی sdcard کار نمیکنه. بین دیتا و wifi باید یکی رو انتخاب کنی.کلا مشگل داره از lenovo بعیده....,1
مموریش از کجا می خوره؟ زیر باتری که نیست انشا الله؟,1
"سونی مارک ژاپنیه و محصولاتش در نهایت مونتاژ تایوان باشن , غیر از این تقلبی هستن و قطعا بهت انداختن برو حالشو ببر. فقط جایی دیگه نگو اصل کره !",2
من دو روز پیش سفارش دادم امروز رسید   خیلی با کیفیت و عالی و راحت   نوشتن با همچین قلمی لذت داره   اصن هوس کردم مشق بنویسم D:,0
بوی خونک و دلچسب جذاب و دوسداشتنی,0
من دیروز رسیده دستم فوق العادست   خیلی کوچیک و خوش دسته و موقع چرخش میدرخشه   حتما توصیه میکنم!  ممنون دیجی,0
علی جان بهت جواب دادم 1 بار. نمی شه قاب صورتی شو  برداشت. قابه جز در گوشیه. میشه گوشی در نداشته باشه؟ خوب باتریش پرت میشه بیرون. امکان برداشتن قاب صورتیش وجود نداره,2
من خیلی دوست داشتم پولم که جورشد این مدل رو بخرم  اما حالا این مدل 2013 هستش همرو شگفت زده کرده مدل2014 که میشهGigaset SL930A امکانات بیشتری داره  اندروید4 داره  وای فای بهش اضافه شده  میکرو مموری هم میخوره بهش  میشه گفت با موبایل های امروزی هیچ فرقی نمیکنه فقط ی دوربین جلو کم داره   امیدوارم هرچه زودتر این مدل پیشرفترو تو سایت دیجیکالا که پیشرو در معرفی تکنولوژی برای خرید اینترنی هست رو زودتر مشاهده کنیم.,1
کفی و رویه ی خیلی نرم خوبی داره .موجودش کنید  پیشنهاد ویژه لطفا.,1
واکس فوق العاده ایه.این واکس رو به همراه فرچه و برس collonil خریدم.یک هفته پیش کفش رو واکس زدم،و هنوز تمیزه.,0
سلام، چرا ناموجود شد!! لطفا بیارین دوباره با تنوع همه رنگهاش. ممنون,1
محصول خوش قیمتی هست و باید به اندازه قیمتش ازش انتظار داشت و در مقایسه با قیمتش کیفیت عالی داره   من خریدشو توصیه میکنم به دوستان,0
